Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
00ea21cb,0.029225751569277,0,0.062672442984464,0.063769541894656,0,0.17035435269121,0.0088112170802608,0,0.059999422332921,0,0.022352938571801,0,0.017465498501457,0.16298043998367,0.013020038438947,0.16799711133067,0.077809833968959,0.011158328875541,0.098194234414342,0,0.0065067349511859,0.027682112410647,0.02,0.29665933295415853,0.9586394337806746
01667231,0.038861313435468,0,0.023924165265449,0.31117359847509,0,0.040454545634985,0.037188088830171,0.020379662744705,0,0,0,0.0005,0.022608215374543,0,0.0394504082543,0.22360684976369,0.18000684093499,0,0,0.037059527703096,0.0045274097394746,0.020215750787063,0,0.4095856121617672,0.9109757058989183
01fc4b6a,0.088989362357246,0,0.35307749320282,0.28799329044391,0,0,0.15232877999939,0.0080953707127436,0,0,0,0.018545117757458,0,0.030229264831076,0.018325900212038,0.027964966049459,0.0030981263254482,0,0.0075733863634939,0,0,0.0037789417449207,0,0.5909386304102794,0.8058858814717347
022cbd07,0,0.042039836383918,0.042077569035129,0.16513689191058,0,0.02586789638588,0.088526985059339,0.0048287718187264,0.032998885524336,0,0,0.018672267158296,0.016677509393631,0.13067132186886,0.086593226281304,0.11842551551825,0.058965807604813,0,0.15434043669689,0,0,0.014177079360054,0.02,0.31814300062138323,0.9486016139934363
031c7bbf,0.14245622744606,0,0.094778594410559,0.056630260141716,0,0.068937626808581,0,0.018020240015006,0.022133131618275,0,0,0.033706331454678,0,0.10277248709362,0.11496153254737,0.023137140303084,0.23038983607102,0.009608269359908,0.06055070303349,0,0,0.021917619696635,0,0.5099026874574422,0.863423393511445
037b5a94,0.12151404655857,0,0.066186765510557,0.14159243362865,0,0.10183087107609,0.12344760876489,0.066108992161641,0,0,0.040894099563878,0,0.0027015064600804,0.020063654576291,0.051802708306776,0.091717319202375,0,0.139682962989,0.022899535523768,0,0,0.0095574956774436,0,0.37189482895814635,0.9282093453112182
0392d81c,0.010807126917913,0.017279701681318,0.089371821958452,0.092891251295212,0,0.065686966798771,0.11274881288283,0.0021207991127845,0.0003,0,0,0.051990850106693,0.0054397258749732,0,0.031129464468241,0.2532724349647,0.1767171854102,0.032381332476077,0,0.0098367472935529,0.017354484717695,0.030625994267048,0.01,0.3343602253623471,0.9421409114065663
042b37c5,0,0.091588654756003,0.055974933980189,0.33058417063472,0,0,0.083763946882875,0.069479610104229,0,0,0,0.028541223360998,0,0.081870452611321,0.03470641722787,0.13766100557235,0.027214949313437,0,0.013236484158062,0.037537986337057,0,0.0078401650608928,0,0.42617475733151705,0.9033770850844418
04b28f00,0.054446903089039,0,0.13708304673207,0.023787572264564,0,0,0,0.039932193477019,0.010177212459403,0,0,0.0055481000952473,0,0.43940332241885,0.013080593641325,0.18710429317159,0,0.0082389561125286,0.067807858133717,0,0,0.013389948404641,0,0.428198934867756,0.9161182722450607
04c8f4a3,0.18946124446955,0,0.33855994217937,0.13239277417891,0,0.034635540844058,0,0.024682844396086,0.017834708516287,0,0.011817305158643,0.006035242462259,0,0.042356433542891,0.0023514006887494,0.082391026433675,0,0.0060806945644349,0.097207994603749,0,0,0.014192847961336,0,0.6378502157720408,0.7701071879628015
05028ec2,0,0.042935105817739,0.046230893241654,0.050878290158807,0,0.17412906591024,0,0,0,0,0.0022009192236366,0.0064428536638586,0.0088045155980455,0.152159542902,0,0.22337083824938,0.010185300410187,0.035635674361121,0.11457422166419,0,0.036223946519766,0.096228832279376,0.04,0.25093213263390307,0.9807743619967583
0549c0d2,0.029152135079925,0,0.23889550223329,0.064816615958157,0,0.074104221047554,0,0.053198839645864,0.013608205620467,0,0,0.12082101993987,0,0.18089070702899,0.065167374184885,0.039423726543657,0.036847717766812,0,0.0089678871222857,0.059387544893497,0,0.014718502934741,0,0.5146128853209118,0.8578836972860451
05582ed0,0.046221129124634,0,0.01498079164408,0.23458126350349,0,0.097424378344831,0.0041402709692389,0.015442734206103,0,0.027973445727893,0,0.048365740496311,0.0056600128741056,0.0036553362473727,0.06769614745596,0.091801528922929,0.12970383068962,0.011922332670812,0.17168244058893,0,0,0.028748616533698,0.04,0.24627215854749104,0.9809471305946679
05d2b1e9,0.19071896108234,0,0.20169155713803,0.073060024396351,0,0.061686502192768,0,0.046120874460946,0.044898448308772,0,0,0.029989160500644,0,0.20935220325095,0.034573708823345,0.030433952665224,0.0079477916338872,0,0.048430877560777,0,0,0.021095937985972,0,0.6577978611965533,0.7677588904179368
0627e7ce,0.1519189262106,0,0.060501770067436,0.096867841636457,0,0.01792218684395,0,0.043145023909093,0.039759831798026,0,0,0.07356617873572,0,0.26804096373834,0.062363170152107,0.068162196108832,0,0.10632888525562,0.0018020880940645,0,0,0.0096209374497484,0.02,0.32802047245091165,0.9546446529553984
065e9b25,0.16240631340042,0,0.26836806648383,0.044888108406692,0,0.09319551485999,0.013454300679818,0,0.026918950976476,0,0.015656237147886,0,0,0.092714195525516,0.026826834000254,0.10399729484888,0.081872291333908,0,0.065462383601211,0,0,0.0042395087351273,0,0.6717866116612924,0.7574562903966834
06acacc3,0.1413225086678,0,0.27966232534284,0.10951506904383,0,0.046106021936718,0.033013339588435,0.061405394081731,0.0035488063296036,0,0,0.059090219896578,0,0.11603212103063,0.05940438398011,0.058772882630819,0,0.022976498022489,0.0067470234297232,0,0,0.002403406018701,0,0.6925730857588775,0.7384677692646531
06b1bbf5,0.13422365298767,0,0.54528584866981,0.065974283802898,0,0.046370083898884,0,0.007049179568516,0,0,0,0.021282372063344,0,0.028919420890161,0.013614465513985,0.042244809505104,0.010369844009925,0.0027234713530746,0.074531875148443,0,0,0.0074106925881879,0,0.7454809645540461,0.666678741813039
06db23e3,0.064769967834619,0,0.047881789589846,0.071452193467966,0,0.036507534692754,0,0.016224111313577,0.035623063233703,0,0,0.059946775600366,0.0341619447444,0.091227413631006,0.0008,0.11697331767963,0.25015098317003,0,0.022325376658344,0,0.030424910208195,0.12154791688972,0.04,0.23114140421785928,0.9899919504956867
0707ddc2,0.10091562373337,0,0.14142829102999,0.29036671486442,0,0,0.14529524062266,0.049080593576021,0,0,0.027878372155321,0.0034588812300959,0,0.01971920456051,0.093607452711767,0.050290627502841,0.058710043510449,0.0022501734125124,0.0032657767485766,0,0.0022025263452974,0.011530477996163,0,0.5142317722752173,0.8584586600836424
072e3af5,0.024212288843989,0,0.022090518590921,0.12304454586784,0,0.033882591451076,0.067433141115886,0.015910168821945,0,0,0,0.019021995617313,0.010766915784948,0.11409965358893,0.073328007977406,0.177876490447,0.105524028141,0.024289286941479,0,0.085599114185751,0,0.10292125262451,0,0.42465403426363424,0.9041700714630805
08c068ff,0.13290714417171,0,0.26312801269386,0.11026154039111,0,0.0055382336259189,0,0.033343225774681,0.023301071187971,0,0,0.049463418163488,0,0.060503875876418,0.076603723437265,0.11721301361869,0.039015822958501,0.0043371445057983,0.068069651530118,0,0,0.01631412206447,0,0.6360580565988051,0.7830653753120801
09572b33,0.059251794602697,0,0.39366922148462,0.10519659917718,0,0.097399529687312,0,0.0093168822644078,0.018085171305137,0.012982639828332,0,0.041395334091991,0,0.053544891568109,0.071115165087258,0.043618728439749,0,0,0.088568001446172,0,0,0.0058560410170334,0,0.5777295611792433,0.8151044627562669
